id,user_id,mood_score,feeling,reason,change_reason,created_at,date
d20015bd-24b5-4a5c-897c-9b16ea902001,,65,평온/잔잔함,"오랜만에 도서관에서 책을 빌려 읽었는데 잔잔하고 여유로운 아침이었다.",,2026-04-01T10:15:00Z,2026-04-01
d20015bd-24b5-4a5c-897c-9b16ea902002,,75,좋음/만족함,"봄 날씨가 좋아서 학교 캠퍼스 벚꽃 길을 걸으며 기분 좋게 등교했다.",,2026-04-02T13:20:00Z,2026-04-02
d20015bd-24b5-4a5c-897c-9b16ea902003,,50,평온/잔잔함,"평이한 하루였지만 몸이 조금 찌푸둥하고 어깨가 결리는 묵직한 날이다.",,2026-04-03T18:45:00Z,2026-04-03
d20015bd-24b5-4a5c-897c-9b16ea902004,,35,우울함/속상함,"과제가 너무 많이 밀렸고 시험 공부할 시간이 심각하게 부족해 마음이 엄청 조급하고 스트레스 받음",,2026-04-04T21:10:00Z,2026-04-04
d20015bd-24b5-4a5c-897c-9b16ea902005,,78,좋음/만족함,"어제 끙끙 앓던 전공 과제를 드디어 끝내고 코인노래방 가서 목이 터져라 신나게 노래 부르고 왔더니 스트레스 싹 풀림!",,2026-04-05T20:30:00Z,2026-04-05
d20015bd-24b5-4a5c-897c-9b16ea902006,,60,평온/잔잔함,"무난한 월요일이다. 가볍게 동기들과 커피 한 잔 마시며 가벼운 안부를 주고받았다.",,2026-04-06T15:40:00Z,2026-04-06
d20015bd-24b5-4a5c-897c-9b16ea902007,,55,평온/잔잔함,"낮잠을 너무 길게 자버려서 머리가 띵하고 해야 할 공부 일정이 밀려서 약간 멍한 상태.",,2026-04-07T19:00:00Z,2026-04-07
d20015bd-24b5-4a5c-897c-9b16ea902008,,68,좋음/만족함,"좋아하는 밴드의 새로운 음악 앨범이 나왔는데 수록곡 전체가 너무 취향이라 귀가 즐거웠다.",,2026-04-08T12:10:00Z,2026-04-08
d20015bd-24b5-4a5c-897c-9b16ea902009,,70,좋음/만족함,"학회 팀원들과 아이디어 회의가 순조롭게 끝났다. 프로젝트 방향이 잘 잡힌 것 같아 안심된다.",,2026-04-09T17:30:00Z,2026-04-09
d20015bd-24b5-4a5c-897c-9b16ea902010,,58,평온/잔잔함,"집안 청소를 깨끗이 해두고 은은한 디퓨저를 켜두니 방안 공기가 한결 편안하게 느껴진다.",,2026-04-10T14:20:00Z,2026-04-10
d20015bd-24b5-4a5c-897c-9b16ea902011,,40,지침/번아웃,"친구 약속이 갑자기 취소되었고 괜한 말실수로 사람 관계에 대한 걱정과 오해가 생겨서 심리적으로 크게 피로함",,2026-04-11T20:50:00Z,2026-04-11
d20015bd-24b5-4a5c-897c-9b16ea902012,,82,최고/행복함,"어제 멀어졌던 친구에게 솔직한 장문의 톡을 보내 오해를 풀고 저녁에 마라탕 같이 먹으며 폭풍 수다 떨었더니 마음의 앙금이 완전히 날아감!",,2026-04-12T21:40:00Z,2026-04-12
d20015bd-24b5-4a5c-897c-9b16ea902013,,62,평온/잔잔함,"화창한 하늘 아래 혼자 자전거를 타고 강변을 달리며 불어오는 시원한 봄바람을 즐겼다.",,2026-04-13T16:00:00Z,2026-04-13
d20015bd-24b5-4a5c-897c-9b16ea902014,,67,좋음/만족함,"부모님이 보내주신 따뜻한 밑반찬 꾸러미를 열었다. 집밥 향기가 가득해서 행복한 저녁 식사.",,2026-04-14T19:15:00Z,2026-04-14
d20015bd-24b5-4a5c-897c-9b16ea902015,,52,평온/잔잔함,"과제가 많긴 하지만 조용히 음악을 틀어놓고 커피 향과 함께 하나하나 처리해 나가는 중.",,2026-04-15T15:00:00Z,2026-04-15
d20015bd-24b5-4a5c-897c-9b16ea902016,,45,지침/번아웃,"일교차가 너무 심해서 환절기 감기 기운이 슬슬 올라오고 몸이 춥고 굳어 쑤셔서 최악의 컨디션이다.",,2026-04-16T22:00:00Z,2026-04-16
d20015bd-24b5-4a5c-897c-9b16ea902017,,75,좋음/만족함,"종합 감기약을 챙겨 먹고 따뜻한 온수로 반신욕을 30분 한 뒤 이불을 푹 뒤집어쓰고 9시간 넘게 푹 잤더니 몸이 날아갈 듯 맑고 가벼워짐!",,2026-04-17T11:30:00Z,2026-04-17
d20015bd-24b5-4a5c-897c-9b16ea902018,,60,평온/잔잔함,"오랜만에 예전에 찍었던 여행 사진들을 정리했다. 추억들이 몽글몽글 솟구치는 여유로운 토요일.",,2026-04-18T14:00:00Z,2026-04-18
d20015bd-24b5-4a5c-897c-9b16ea902019,,63,평온/잔잔함,"일요일 오후, 조용히 카페 구석 자리에 앉아 다이어리를 정리하며 다음 주 계획을 세웠다.",,2026-04-19T17:10:00Z,2026-04-19
d20015bd-24b5-4a5c-897c-9b16ea902020,,55,평온/잔잔함,"학교 수업 발표가 있었는데 아주 살짝 버벅여서 아쉬움이 남지만, 어쨌든 큰 과제 하나를 끝내서 안도함.",,2026-04-20T18:20:00Z,2026-04-20
d20015bd-24b5-4a5c-897c-9b16ea902021,,72,좋음/만족함,"생각지도 않았던 장학금 선정 문자가 날아와서 입이 귀에 걸렸다! 맛있는 치킨으로 자축하는 중.",,2026-04-21T19:30:00Z,2026-04-21
d20015bd-24b5-4a5c-897c-9b16ea902022,,50,평온/잔잔함,"중간고사 일정이 코앞이라 압박감이 밀려오지만, 공부 계획을 다시 구체적으로 짜면서 마음을 잡는다.",,2026-04-22T21:00:00Z,2026-04-22
d20015bd-24b5-4a5c-897c-9b16ea902023,,42,지침/번아웃,"독서실에서 하루 종일 공부하느라 목과 허리가 찌릿하게 아프고 집중력이 완전히 방전되어 지쳐버렸다.",,2026-04-23T23:10:00Z,2026-04-23
d20015bd-24b5-4a5c-897c-9b16ea902024,,75,좋음/만족함,"공부를 접고 헬스장에 가서 가볍게 스트레칭하고 러닝머신 30분간 땀을 쫙 빼며 뛰고 씻었더니 몸의 쑤심과 뇌의 피로가 개운하게 날아감!",,2026-04-24T20:40:00Z,2026-04-24
d20015bd-24b5-4a5c-897c-9b16ea902025,,68,좋음/만족함,"시험 공부하던 친구와 떡볶이를 야식으로 나누어 먹으며 실없이 서로 웃고 격려하는 따스한 밤이었다.",,2026-04-25T23:00:00Z,2026-04-25
d20015bd-24b5-4a5c-897c-9b16ea902026,,65,평온/잔잔함,"시험이 끝나서 기지개를 켰다. 엄청 시원하고 며칠간 쌓였던 압박감이 스르륵 녹아내렸다.",,2026-04-26T14:00:00Z,2026-04-26
d20015bd-24b5-4a5c-897c-9b16ea902027,,70,좋음/만족함,"그동안 가보고 싶었던 향수 공방에서 나만의 향수를 조향해 만들었다. 마음에 쏙 드는 포근한 향기.",,2026-04-27T16:30:00Z,2026-04-27
d20015bd-24b5-4a5c-897c-9b16ea902028,,60,평온/잔잔함,"오연히 온전히 나만의 자유 시간이 생겨서 밀린 넷플릭스 영화를 보며 침대에서 뒹굴거린 나날.",,2026-04-28T15:10:00Z,2026-04-28
d20015bd-24b5-4a5c-897c-9b16ea902029,,58,평온/잔잔함,"날이 풀려서 밤바람이 시원하다. 옥상에 올라가 밤하늘 별을 올려다보며 하루를 평화롭게 갈무리.",,2026-04-29T22:30:00Z,2026-04-29
d20015bd-24b5-4a5c-897c-9b16ea902030,,66,좋음/만족함,"친구들과 함께 5월 계획을 짜며 여행 약속을 잡았다. 다가올 휴일 생각에 벌써부터 마음이 설렌다.",,2026-04-30T13:40:00Z,2026-04-30
d20015bd-24b5-4a5c-897c-9b16ea902031,,72,좋음/만족함,"5월의 첫 시작. 햇살이 한결 더 초록초록해졌다. 푸른 나무들을 보며 산책하는 등굣길이 행복했다.",,2026-05-01T09:20:00Z,2026-05-01
d20015bd-24b5-4a5c-897c-9b16ea902032,,64,평온/잔잔함,"밀렸던 옷들을 깔끔하게 세탁하고 햇볕에 널어 말렸다. 뽀송한 세제 냄새가 마음을 정화해준다.",,2026-05-02T14:15:00Z,2026-05-02
d20015bd-24b5-4a5c-897c-9b16ea902033,,48,지침/번아웃,"주말인데 아무것도 하기 싫고 무기력증이 크게 몰려와 침대에서 꼼짝하지 못하고 혼자 보내 고독하고 처지는 느낌.",,2026-05-03T18:00:00Z,2026-05-03
d20015bd-24b5-4a5c-897c-9b16ea902034,,80,최고/행복함,"우울을 걷어차고 모자를 눌러쓴 채 동네 한 바퀴를 크게 걸으며 좋아하는 라디오 앱을 들었더니 무기력증이 깨끗이 날아가고 기운이 펄펄 남!",,2026-05-04T16:40:00Z,2026-05-04
d20015bd-24b5-4a5c-897c-9b16ea902035,,65,평온/잔잔함,"어린이날 대체 휴일 덕분에 오랜만에 늦잠을 푹 자고 여유롭게 브런치를 먹으며 하루를 천천히 음미했다.",,2026-05-05T12:00:00Z,2026-05-05
d20015bd-24b5-4a5c-897c-9b16ea902036,,55,평온/잔잔함,"할 일이 산더미인데 멍청하게 폰만 보며 유튜브 피드를 넘기다가 시간을 날려버려 약간의 자책감이 드는 날.",,2026-05-06T21:30:00Z,2026-05-06
d20015bd-24b5-4a5c-897c-9b16ea902037,,67,좋음/만족함,"공모전 팀원들과 카톡방에서 좋은 피드백을 주고받았다. 내 제안이 긍정적으로 채택되어 뿌듯한 마음.",,2026-05-07T16:00:00Z,2026-05-07
d20015bd-24b5-4a5c-897c-9b16ea902038,,60,평온/잔잔함,"어버이날을 맞아 부모님께 깜짝 꽃바구니 배달을 보냈는데 너무 감동하며 전화를 주셔서 마음속 깊이 따뜻해졌다.",,2026-05-08T19:40:00Z,2026-05-08
d20015bd-24b5-4a5c-897c-9b16ea902039,,57,평온/잔잔함,"조용한 동네 북카페를 찾아 평소 읽고 싶었던 인문학 서적을 천천히 독서했다. 마음의 쉼표.",,2026-05-09T15:20:00Z,2026-05-09
d20015bd-24b5-4a5c-897c-9b16ea902040,,42,지침/번아웃,"과제가 과하게 겹쳐서 도저히 진도가 안 나가고 미래에 취업은 잘할 수 있을지 엄청난 학업/진로 부담으로 머리가 띵함",,2026-05-10T22:30:00Z,2026-05-10
d20015bd-24b5-4a5c-897c-9b16ea902041,,78,좋음/만족함,"스트레스로 던져두었던 노트를 다시 펴고 과제들을 잘게 쪼개서 하나를 클리어했더니 생각보다 쉬워서 안도하고 큰 자신감을 얻음!",,2026-05-11T20:10:00Z,2026-05-11
d20015bd-24b5-4a5c-897c-9b16ea902042,,68,좋음/만족함,"날씨가 초여름처럼 따뜻해졌다. 가벼운 반팔 셔츠를 꺼내 입고 등교하는데 바람이 선선해 등굣길 기분 최고.",,2026-05-12T10:00:00Z,2026-05-12
d20015bd-24b5-4a5c-897c-9b16ea902043,,63,평온/잔잔함,"저녁 식사 후 가볍게 아파트 단지 공원을 산책했다. 밤공기가 달콤하고 찌푸둥한 몸이 한결 풀림.",,2026-05-13T21:40:00Z,2026-05-13
d20015bd-24b5-4a5c-897c-9b16ea902044,,52,평온/잔잔함,"온종일 비가 내려 빗소리를 들으며 방에서 커피와 음악에 파묻혔다. 약간 센치해지는 날씨.",,2026-05-14T17:15:00Z,2026-05-14
d20015bd-24b5-4a5c-897c-9b16ea902045,,36,우울함/속상함,"주말을 앞두고 몸살 기운이 심해서 온몸 근육통이 오고 컨디션이 최악이라 하루가 아프고 처졌다.",,2026-05-15T22:10:00Z,2026-05-15
d20015bd-24b5-4a5c-897c-9b16ea902046,,76,좋음/만족함,"비타민 듬뿍 챙겨 먹고 따뜻한 꿀차를 끓여 마시며 방 온도 높여 이불 속에 푹 잤더니 몸살이 감쪽같이 낫고 개운함!",,2026-05-16T11:50:00Z,2026-05-16
d20015bd-24b5-4a5c-897c-9b16ea902047,,66,좋음/만족함,"화창한 일요일 오후, 조용히 예쁜 꽃들을 보며 산림욕을 다녀왔다. 지쳤던 몸과 뇌에 생기가 돋는다.",,2026-05-17T17:00:00Z,2026-05-17
d20015bd-24b5-4a5c-897c-9b16ea902048,,58,평온/잔잔함,"새로운 한 주의 시작. 해야 할 일들이 많지만 차분하고 안정된 리듬으로 차근차근 다져 나가는 나날.",,2026-05-18T18:30:00Z,2026-05-18
d20015bd-24b5-4a5c-897c-9b16ea902049,,55,평온/잔잔함,"오랜만에 친한 후배와 밥약속을 가졌는데 소소하게 서로 학교 근황을 나누는 기분 좋은 수다 타임.",,2026-05-19T14:20:00Z,2026-05-19
d20015bd-24b5-4a5c-897c-9b16ea902050,,68,좋음/만족함,"그동안 풀리지 않던 프로그래밍 버그를 2시간 구글링 끝에 완벽히 해결했다! 짜릿한 성취감 만끽.",,2026-05-20T16:45:00Z,2026-05-20
d20015bd-24b5-4a5c-897c-9b16ea902051,,50,평온/잔잔함,"미루고 있었던 안과 검진을 받았다. 눈 상태가 양호하다니 다행이고 큰 숙제 하나 덜어낸 기분.",,2026-05-21T15:20:00Z,2026-05-21
d20015bd-24b5-4a5c-897c-9b16ea902052,,43,지침/번아웃,"사람들이 많은 역 주변에서 아는 사람과 마주쳐 어색하게 인사했는데 왠지 모를 소외감과 인간관계 피로감이 밀려옴",,2026-05-22T21:30:00Z,2026-05-22
d20015bd-24b5-4a5c-897c-9b16ea902053,,85,최고/행복함,"어제 퇴근길 인간관계로 꿀꿀했으나 친구에게 가볍게 전화 걸어 속풀이 통화 1시간 하고 웃고 넘겼더니 거짓말같이 후련함!",,2026-05-23T20:10:00Z,2026-05-23
d20015bd-24b5-4a5c-897c-9b16ea902054,,70,좋음/만족함,"일요일 아침, 일찍 일어나 방안을 맑은 바깥바람으로 환기하고 시원하게 대청소를 끝마친 뒤 마신 모닝 커피 맛은 꿀맛.",,2026-05-24T11:00:00Z,2026-05-24
d20015bd-24b5-4a5c-897c-9b16ea902055,,62,평온/잔잔함,"일교차가 다시 커져 저녁엔 쌀쌀하지만 조용히 방에서 독서 스탠드 불빛 켜두고 일기를 쓰며 하루를 아늑하게 정리.",,2026-05-25T22:15:00Z,2026-05-25
d20015bd-24b5-4a5c-897c-9b16ea902056,,65,평온/잔잔함,"화요일 등굣길, 맑은 바람 속에 기래프를 열어 내 감정을 마주하고 기록해 본다. 차분하고 포근한 시작.",,2026-05-26T09:30:00Z,2026-05-26
